Country,leisure_very_important,leisure_rather_important,job_security_important,job_achievement_important,family_very_important,family_rather_important,very_happy,quite_happy,child_manners_important,child_hard_work_important,child_independence_important
Albania,15,50,76,58,90,10,12,55,85,58,32
Argentina,40,42,-1,-1,91,8,32,55,-1,58,44
Australia,45,46,-1,-1,94,5,35,56,-1,49,64
Bangladesh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Belarus,25,52,56,52,81,17,11,65,64,88,25
Chile,47,38,-1,-1,90,9,30,49,-1,27,40
China,11,39,-1,-1,78,19,19,58,-1,83,70
Taiwan,34,50,-1,-1,92,7,22,64,-1,55,80
Colombia,-1,-1,-1,-1,-1,-1,49,38,-1,19,33
Czech Rep.,34,51,61,47,78,17,14,70,76,73,64
Estonia,27,53,72,62,74,21,10,68,77,81,26
Finland,45,49,71,61,85,12,22,67,87,11,60
Hungary,38,47,81,42,89,9,17,61,83,62,78
India,24,36,-1,-1,90,8,29,46,-1,81,67
Japan,40,50,-1,-1,91,6,28,59,-1,32,80
South Korea,24,61,-1,-1,92,8,13,74,-1,72,68
Latvia,24,51,62,51,66,28,10,65,66,78,68
Lithuania,20,58,72,53,62,33,6,60,39,79,72
Mexico,55,29,-1,-1,95,4,58,32,-1,24,41
New Zealand,48,39,-1,-1,93,5,38,58,-1,41,53
Nigeria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Norway,51,44,60,62,90,9,39,57,78,12,88
Philippines,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Poland,34,50,79,66,89,10,20,66,57,57,39
South Africa,37,39,-1,-1,96,4,43,35,-1,71,59
Spain,42,48,52,26,86,13,22,69,84,39,36
Sweden,53,40,52,61,92,7,36,56,77,10,71
Switzerland,45,47,55,51,85,13,42,51,78,23,71
Turkey,50,36,96,84,97,3,31,48,92,76,27
Ukraine,30,48,61,49,87,11,12,59,61,83,25
United States,37,51,-1,-1,94,5,34,59,-1,62,54
