Country,leisure_very_important,leisure_rather_important,job_security_important,job_achievement_important,family_very_important,family_rather_important,very_happy,quite_happy,child_manners_important,child_hard_work_important,child_independence_important
Albania,14,38,81,51,96,3,10,49,-1,64,57
Argentina,35,42,70,48,90,8,33,48,83,57,36
Australia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bangladesh,23,46,97,88,97,3,15,63,-1,59,78
Belarus,24,41,30,31,78,18,5,57,60,91,32
Chile,53,34,74,63,96,3,36,44,-1,26,53
China,7,42,68,31,60,36,12,66,-1,86,74
Taiwan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colombia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Czech Rep.,21,58,52,38,84,14,11,75,87,73,69
Estonia,19,53,51,45,68,28,6,58,78,82,22
Finland,39,51,68,56,80,16,24,65,90,12,57
Hungary,31,48,89,77,89,9,17,54,70,70,70
India,28,34,91,69,92,6,25,48,-1,85,56
Japan,42,46,80,70,91,6,28,59,-1,27,82
South Korea,24,61,97,92,90,10,10,78,-1,72,77
Latvia,16,45,38,32,70,22,7,50,72,85,51
Lithuania,15,61,75,42,65,30,4,57,33,85,75
Mexico,50,32,65,53,97,2,56,35,-1,30,42
New Zealand,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Nigeria,52,32,82,82,99,1,67,25,95,80,26
Norway,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Philippines,15,41,76,54,99,1,38,49,-1,74,66
Poland,24,56,80,67,91,8,17,60,57,85,22
South Africa,35,43,84,75,95,3,39,39,-1,75,62
Spain,35,49,75,48,86,13,20,67,86,45,39
Sweden,54,40,51,72,89,8,37,57,70,4,69
Switzerland,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Turkey,43,34,98,94,97,2,31,41,92,74,15
Ukraine,24,41,72,51,81,14,6,40,55,88,32
United States,42,48,72,84,95,4,39,54,-1,61,61
